        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000004        0.00000004        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000006        0.00000007        0.00000001        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000010        0.00000013        0.00000003        0.00000000        0.00000000        0.00000000 
       -0.00000001       -0.00000001        0.00000013        0.00000019        0.00000007        0.00000002        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000017        0.00000024        0.00000011        0.00000005        0.00000001        0.00000000 
        0.00000000        0.00000001        0.00000021        0.00000030        0.00000015        0.00000007        0.00000003        0.00000001 
        0.00000000        0.00000002        0.00000026        0.00000037        0.00000020        0.00000010        0.00000005        0.00000001 
        0.00000001        0.00000003        0.00000032        0.00000044        0.00000024        0.00000014        0.00000007        0.00000002 
        0.00000001        0.00000005        0.00000038        0.00000053        0.00000030        0.00000017        0.00000009        0.00000003 
        0.00000002        0.00000007        0.00000046        0.00000062        0.00000036        0.00000021        0.00000011        0.00000003 
        0.00000003        0.00000010        0.00000055        0.00000073        0.00000043        0.00000025        0.00000013        0.00000004 
        0.00000003        0.00000014        0.00000064        0.00000084        0.00000050        0.00000030        0.00000015        0.00000005 
        0.00000004        0.00000017        0.00000075        0.00000097        0.00000058        0.00000035        0.00000018        0.00000006 
        0.00000005        0.00000021        0.00000086        0.00000110        0.00000067        0.00000040        0.00000021        0.00000007 
        0.00000007        0.00000025        0.00000098        0.00000125        0.00000077        0.00000047        0.00000025        0.00000008 
        0.00000008        0.00000030        0.00000112        0.00000141        0.00000087        0.00000053        0.00000029        0.00000009 
        0.00000009        0.00000035        0.00000127        0.00000159        0.00000099        0.00000061        0.00000033        0.00000010 
        0.00000011        0.00000041        0.00000143        0.00000178        0.00000111        0.00000069        0.00000037        0.00000012 
        0.00000012        0.00000047        0.00000161        0.00000199        0.00000125        0.00000077        0.00000042        0.00000013 
        0.00000014        0.00000054        0.00000180        0.00000222        0.00000140        0.00000087        0.00000047        0.00000015 
        0.00000016        0.00000061        0.00000201        0.00000248        0.00000156        0.00000097        0.00000053        0.00000017 
        0.00000019        0.00000069        0.00000225        0.00000276        0.00000174        0.00000108        0.00000059        0.00000019 
        0.00000021        0.00000078        0.00000250        0.00000307        0.00000194        0.00000121        0.00000066        0.00000021 
        0.00000024        0.00000088        0.00000278        0.00000340        0.00000216        0.00000135        0.00000074        0.00000023 
        0.00000027        0.00000098        0.00000309        0.00000377        0.00000240        0.00000150        0.00000082        0.00000026 
