        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000000        0.00000003        0.00000003        0.00000000        0.00000000 
        0.00000000        0.00000000       -0.00000001        0.00000004        0.00000006        0.00000002        0.00000000 
        0.00000000        0.00000000       -0.00000000        0.00000007        0.00000010        0.00000004        0.00000001 
        0.00000000        0.00000000        0.00000001        0.00000011        0.00000014        0.00000006        0.00000002 
       -0.00000000       -0.00000000        0.00000000        0.00000010        0.00000016        0.00000009        0.00000003 
       -0.00000000       -0.00000000        0.00000001        0.00000011        0.00000018        0.00000011        0.00000004 
        0.00000000        0.00000000        0.00000001        0.00000012        0.00000017        0.00000010        0.00000004 
        0.00000000        0.00000000        0.00000001        0.00000013        0.00000018        0.00000009        0.00000002 
        0.00000000        0.00000001        0.00000001        0.00000014        0.00000019        0.00000009        0.00000002 
        0.00000000        0.00000001        0.00000002        0.00000016        0.00000021        0.00000010        0.00000003 
        0.00000000        0.00000001        0.00000003        0.00000018        0.00000024        0.00000012        0.00000004 
        0.00000000        0.00000001        0.00000003        0.00000020        0.00000027        0.00000013        0.00000004 
        0.00000000        0.00000001        0.00000004        0.00000023        0.00000030        0.00000015        0.00000005 
        0.00000001        0.00000002        0.00000004        0.00000026        0.00000034        0.00000017        0.00000005 
        0.00000001        0.00000002        0.00000005        0.00000029        0.00000038        0.00000019        0.00000006 
        0.00000001        0.00000002        0.00000006        0.00000032        0.00000042        0.00000021        0.00000006 
        0.00000001        0.00000003        0.00000006        0.00000035        0.00000046        0.00000023        0.00000007 
        0.00000001        0.00000003        0.00000007        0.00000039        0.00000051        0.00000025        0.00000008 
        0.00000001        0.00000003        0.00000008        0.00000043        0.00000056        0.00000028        0.00000008 
        0.00000001        0.00000004        0.00000009        0.00000048        0.00000062        0.00000031        0.00000009 
        0.00000001        0.00000004        0.00000010        0.00000053        0.00000069        0.00000034        0.00000010 
        0.00000002        0.00000005        0.00000011        0.00000058        0.00000076        0.00000038        0.00000012 
        0.00000002        0.00000006        0.00000013        0.00000065        0.00000084        0.00000042        0.00000013 
        0.00000002        0.00000006        0.00000014        0.00000071        0.00000093        0.00000046        0.00000014 
        0.00000002        0.00000007        0.00000016        0.00000079        0.00000102        0.00000051        0.00000016 
        0.00000002        0.00000008        0.00000018        0.00000087        0.00000113        0.00000056        0.00000017 
        0.00000003        0.00000009        0.00000020        0.00000096        0.00000124        0.00000062        0.00000019 
        0.00000003        0.00000010        0.00000022        0.00000105        0.00000136        0.00000068        0.00000021 
        0.00000003        0.00000011        0.00000024        0.00000116        0.00000150        0.00000075        0.00000023 
        0.00000004        0.00000012        0.00000026        0.00000128        0.00000165        0.00000082        0.00000025 
