        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000004        0.00000004        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000        0.00000000        0.00000006        0.00000006        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000 
        0.00000000       -0.00000000        0.00000011        0.00000013        0.00000002        0.00000000        0.00000000        0.00000000        0.00000000 
       -0.00000000        0.00000000        0.00000016        0.00000019        0.00000005        0.00000001        0.00000000        0.00000000        0.00000000 
       -0.00000000        0.00000001        0.00000020        0.00000026        0.00000009        0.00000002        0.00000000        0.00000000        0.00000000 
       -0.00000000        0.00000000        0.00000025        0.00000034        0.00000014        0.00000004        0.00000001        0.00000000        0.00000000 
        0.00000000        0.00000003        0.00000032        0.00000042        0.00000018        0.00000007        0.00000001        0.00000000        0.00000000 
        0.00000001        0.00000005        0.00000040        0.00000051        0.00000023        0.00000010        0.00000004        0.00000001        0.00000000 
        0.00000001        0.00000007        0.00000048        0.00000062        0.00000029        0.00000014        0.00000006        0.00000002        0.00000000 
        0.00000003        0.00000011        0.00000058        0.00000074        0.00000036        0.00000018        0.00000008        0.00000003        0.00000001 
        0.00000004        0.00000014        0.00000069        0.00000087        0.00000044        0.00000022        0.00000011        0.00000005        0.00000001 
        0.00000005        0.00000019        0.00000083        0.00000102        0.00000053        0.00000027        0.00000014        0.00000006        0.00000002 
        0.00000006        0.00000025        0.00000097        0.00000118        0.00000063        0.00000034        0.00000018        0.00000008        0.00000002 
        0.00000008        0.00000030        0.00000112        0.00000136        0.00000074        0.00000040        0.00000022        0.00000010        0.00000003 
        0.00000010        0.00000037        0.00000130        0.00000156        0.00000086        0.00000048        0.00000026        0.00000013        0.00000004 
        0.00000011        0.00000044        0.00000148        0.00000177        0.00000100        0.00000057        0.00000031        0.00000015        0.00000005 
        0.00000013        0.00000051        0.00000169        0.00000201        0.00000114        0.00000066        0.00000037        0.00000018        0.00000006 
        0.00000016        0.00000060        0.00000192        0.00000227        0.00000131        0.00000076        0.00000043        0.00000022        0.00000007 
        0.00000018        0.00000069        0.00000217        0.00000256        0.00000148        0.00000087        0.00000050        0.00000026        0.00000008 
        0.00000021        0.00000080        0.00000245        0.00000288        0.00000168        0.00000099        0.00000057        0.00000030        0.00000009 
        0.00000025        0.00000091        0.00000275        0.00000323        0.00000189        0.00000113        0.00000066        0.00000034        0.00000011 
        0.00000028        0.00000104        0.00000308        0.00000361        0.00000213        0.00000127        0.00000075        0.00000039        0.00000012 
        0.00000032        0.00000118        0.00000345        0.00000403        0.00000239        0.00000144        0.00000084        0.00000044        0.00000014 
        0.00000036        0.00000133        0.00000385        0.00000449        0.00000267        0.00000161        0.00000095        0.00000050        0.00000016 
        0.00000041        0.00000150        0.00000429        0.00000499        0.00000298        0.00000181        0.00000107        0.00000056        0.00000018 
        0.00000047        0.00000168        0.00000477        0.00000555        0.00000332        0.00000202        0.00000120        0.00000063        0.00000020 
        0.00000052        0.00000188        0.00000530        0.00000615        0.00000370        0.00000226        0.00000134        0.00000071        0.00000022 
        0.00000059        0.00000210        0.00000588        0.00000682        0.00000411        0.00000251        0.00000150        0.00000079        0.00000025 
        0.00000066        0.00000234        0.00000652        0.00000755        0.00000456        0.00000280        0.00000167        0.00000089        0.00000028 
        0.00000073        0.00000261        0.00000722        0.00000835        0.00000506        0.00000311        0.00000186        0.00000099        0.00000031 
        0.00000082        0.00000290        0.00000799        0.00000923        0.00000560        0.00000345        0.00000207        0.00000110        0.00000035 
        0.00000091        0.00000323        0.00000883        0.00001019        0.00000620        0.00000382        0.00000230        0.00000122        0.00000038 
        0.00000101        0.00000358        0.00000975        0.00001125        0.00000685        0.00000423        0.00000254        0.00000136        0.00000043 
        0.00000112        0.00000397        0.00001075        0.00001240        0.00000757        0.00000468        0.00000282        0.00000150        0.00000047 
        0.00000124        0.00000439        0.00001186        0.00001367        0.00000835        0.00000517        0.00000312        0.00000166        0.00000052 
        0.00000138        0.00000485        0.00001306        0.00001505        0.00000921        0.00000571        0.00000345        0.00000184        0.00000058 
        0.00000152        0.00000537        0.00001438        0.00001656        0.00001015        0.00000630        0.00000381        0.00000204        0.00000064 
